technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
checkpoint,c,0,0xb7e88163f36c2504,none,0x00000000c0dec0de,masked,257,257,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,1,0xee0b851f9642f7bf,none,0x00000000c0dec0de,masked,244,244,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,2,0xa885fe5287c47812,none,0x00000000c0dec0de,masked,754,754,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,3,0xe2c6c2fd91c4a5b0,none,0x00000000c0dec0de,masked,598,598,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,4,0x2862240996e1c358,none,0x00000000c0dec0de,masked,226,226,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,5,0xceb3336bba10f207,none,0x00000000c0dec0de,masked,786,786,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,6,0xf2bc0ac9402ad545,none,0x00000000c0dec0de,masked,178,178,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,7,0x11dd53053a14bbb6,none,0x00000000c0dec0de,masked,346,346,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,8,0xfbd9c8472a32b6ab,none,0x00000000c0dec0de,masked,418,418,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,9,0xa62bb597e1d10313,none,0x00000000c0dec0de,masked,726,726,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,10,0x4f5811085900eee9,none,0x00000000c0dec0de,masked,266,266,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,11,0xcb9e3fa1e8721f1c,none,0x00000000c0dec0de,masked,735,735,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,12,0x4c26657ab1ad023b,none,0x00000000c0dec0de,masked,540,540,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,13,0xa6c1f8ba3be4bca2,none,0x00000000c0dec0de,masked,437,437,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,4505,5
checkpoint,c,14,0x6a83c6cafdd5720f,none,0x00000000c0dec0de,masked,352,352,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,15,0x1272e7e5a739e85b,none,0x00000000c0dec0de,masked,157,157,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,16,0xbdf4bf8e8fa6bb23,none,0x00000000c0dec0de,masked,570,570,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,17,0xbc2ea9704c40b10d,none,0x00000000c0dec0de,masked,785,785,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,18,0x891fa9ccef1dbb03,none,0x00000000c0dec0de,masked,429,429,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
checkpoint,c,19,0xb24f8dd89e008ec5,none,0x00000000c0dec0de,masked,720,720,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,4505,5
