technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,initial_value,expected,value,restart_status,restart_status_name,active_check,active_check_name,checkpoint_check,checkpoint_check_name,active_value,checkpoint_value,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
checkpoint,c,ram-symbol-bitflip,1,fail,0,1,7,after_commit,0,none,0,137,364,137,1,restored,4,invalid_checksum,0,ok,137,137,0,1,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,12,0x20000a88,6,1000,936,5
checkpoint,c,ram-symbol-bitflip,2,fail,0,1,7,after_commit,0,none,0,174,417,174,1,restored,3,invalid_length,0,ok,174,174,0,2,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,16,0x20000a8c,20,6,1048582,5
checkpoint,c,ram-symbol-bitflip,3,pass,1,0,7,after_commit,0,none,0,211,470,470,0,committed,0,ok,0,ok,470,470,1,2,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,32,0x20000a9c,21,211,2097363,5
checkpoint,c,ram-symbol-bitflip,4,fail,0,1,7,after_commit,0,none,0,248,523,248,1,restored,6,invalid_tag,0,ok,248,248,1,3,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,0,0x20000a7c,17,1,131073,5
checkpoint,c,ram-symbol-bitflip,5,pass,1,0,7,after_commit,0,none,0,285,576,576,0,committed,0,ok,0,ok,576,576,2,3,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,36,0x20000aa0,31,0,2147483648,5
checkpoint,c,ram-symbol-bitflip,6,fail,0,1,7,after_commit,0,none,0,322,629,322,1,restored,4,invalid_checksum,0,ok,322,322,2,4,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,8,0x20000a84,3,0,8,5
checkpoint,c,ram-symbol-bitflip,7,pass,1,0,7,after_commit,0,none,0,359,682,682,0,committed,0,ok,0,ok,682,682,3,4,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,48,0x20000aac,17,16,131088,5
checkpoint,c,ram-symbol-bitflip,8,fail,0,1,7,after_commit,0,none,0,396,735,396,1,restored,4,invalid_checksum,0,ok,396,396,3,5,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,12,0x20000a88,4,1000,1016,5
checkpoint,c,ram-symbol-bitflip,9,pass,1,0,7,after_commit,0,none,0,433,788,788,0,committed,0,ok,0,ok,788,788,4,5,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,36,0x20000aa0,11,0,2048,5
checkpoint,c,ram-symbol-bitflip,10,fail,0,1,7,after_commit,0,none,0,470,141,470,1,restored,4,invalid_checksum,0,ok,470,470,4,6,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,20,0x20000a90,5,16,48,5
checkpoint,c,ram-symbol-bitflip,11,pass,1,0,7,after_commit,0,none,0,507,194,194,0,committed,0,ok,0,ok,194,194,5,6,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,40,0x20000aa4,14,1000,17384,5
checkpoint,c,ram-symbol-bitflip,12,pass,1,0,7,after_commit,0,none,0,544,247,247,0,committed,0,ok,0,ok,247,247,6,6,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,52,0x20000ab0,14,3145427694,3145411310,5
checkpoint,c,ram-symbol-bitflip,13,pass,1,0,7,after_commit,0,none,0,581,300,300,0,committed,0,ok,0,ok,300,300,7,6,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,52,0x20000ab0,23,3310875567,3319264175,5
checkpoint,c,ram-symbol-bitflip,14,pass,1,0,7,after_commit,0,none,0,618,353,353,0,committed,0,ok,0,ok,353,353,8,6,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,48,0x20000aac,1,16,18,5
checkpoint,c,ram-symbol-bitflip,15,pass,1,0,7,after_commit,0,none,0,655,406,406,0,committed,0,ok,0,ok,406,406,9,6,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,44,0x20000aa8,9,6,518,5
checkpoint,c,ram-symbol-bitflip,16,fail,0,1,7,after_commit,0,none,0,692,459,692,1,restored,4,invalid_checksum,0,ok,692,692,9,7,4095,ram-symbol-bitflip,ram-symbol,harness_c_checkpoint_state,0x6c,24,0x20000a94,25,402589984,369035552,5
