technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
checkpoint,c,0,0x2cefade87dc1acc4,ram-symbol-bitflip,0x00000000c0dec0de,masked,312,312,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007dc,0x51c,32,11,644,2692,completed,0,0,67,4505,5
checkpoint,c,1,0x4116e76a7e8997ab,ram-symbol-bitflip,0x00000000c0dec0de,masked,657,657,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007ec,0x51c,48,1,16,18,completed,0,0,67,4505,5
checkpoint,c,2,0xb509264e069cd645,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,793,412,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007c4,0x51c,8,31,0,2147483648,completed,0,0,67,4708,5
checkpoint,c,3,0x021da848ce15d654,ram-symbol-bitflip,0x00000000c0dec0de,masked,266,266,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007e0,0x51c,36,18,0,262144,completed,0,0,67,4505,5
checkpoint,c,4,0xd4408a3d632270bd,ram-symbol-bitflip,0x00000000c0dec0de,masked,790,790,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007dc,0x51c,32,29,478,536871390,completed,0,0,67,4505,5
checkpoint,c,5,0x669b9609fc11619e,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,150,517,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007d0,0x51c,20,3,16,24,completed,0,0,67,5601,5
checkpoint,c,6,0x51d6e4a5ba98629d,ram-symbol-bitflip,0x00000000c0dec0de,corrected,351,351,1,1,0,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007c8,0x51c,12,11,1000,3048,completed,0,0,67,5601,5
checkpoint,c,7,0xe725edf35174642c,ram-symbol-bitflip,0x00000000c0dec0de,masked,371,371,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007ec,0x51c,48,24,16,16777232,completed,0,0,67,4505,5
checkpoint,c,8,0xd471200ba32851fa,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,184,588,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007cc,0x51c,16,7,6,134,completed,0,0,67,4795,5
checkpoint,c,9,0x2062dcc26fb39e11,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,394,409,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007c4,0x51c,8,20,0,1048576,completed,0,0,67,4708,5
checkpoint,c,10,0xaf0f812233c79b1d,ram-symbol-bitflip,0x00000000c0dec0de,masked,657,657,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007d8,0x51c,28,2,1,5,completed,0,0,67,4505,5
checkpoint,c,11,0x85fa876fc2e2037d,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,228,502,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007cc,0x51c,16,19,6,524294,completed,0,0,67,4795,5
checkpoint,c,12,0x5dcf9b4048ec112b,ram-symbol-bitflip,0x00000000c0dec0de,masked,704,704,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007f0,0x51c,52,3,3348657459,3348657467,completed,0,0,67,4505,5
checkpoint,c,13,0x7aac19eac9e4a8db,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,457,590,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007d4,0x51c,24,15,918779151,918811919,completed,0,0,67,5601,5
checkpoint,c,14,0x8ca118731e2a985b,ram-symbol-bitflip,0x00000000c0dec0de,masked,506,506,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007e0,0x51c,36,18,0,262144,completed,0,0,67,4505,5
checkpoint,c,15,0x285f4de756b377b4,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,786,100,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_state,0x200007c0,0x51c,4,30,100,1073741924,completed,0,0,67,4716,5
