technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,initial_value,expected,value,restart_status,restart_status_name,active_check,active_check_name,checkpoint_check,checkpoint_check_name,active_value,checkpoint_value,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
checkpoint,c,reg-bitflip-window,1,pass,1,0,7,after_commit,0,none,0,137,364,364,0,committed,0,ok,0,ok,364,364,1,0,4095,reg-bitflip-window,reg,r0,0x6e,1,0x0,6,5,69,5
checkpoint,c,reg-bitflip-window,2,pass,1,0,7,after_commit,0,none,0,174,417,417,0,committed,0,ok,0,ok,417,417,2,0,4095,reg-bitflip-window,reg,r2,0x4d6,49,0x0,4,27,11,5
checkpoint,c,reg-bitflip-window,3,pass,1,0,7,after_commit,0,none,0,211,470,470,0,committed,0,ok,0,ok,470,470,3,0,4095,reg-bitflip-window,reg,r0,0x6e,1,0x0,5,5,37,5
checkpoint,c,reg-bitflip-window,4,pass,1,0,7,after_commit,0,none,0,248,523,523,0,committed,0,ok,0,ok,523,523,4,0,4095,reg-bitflip-window,reg,r5,0xa14,32,0x0,1,6,4,5
checkpoint,c,reg-bitflip-window,5,pass,1,0,7,after_commit,0,none,0,285,576,576,0,committed,0,ok,0,ok,576,576,5,0,4095,reg-bitflip-window,reg,r2,0x51a,64,0x0,15,27,32795,5
checkpoint,c,reg-bitflip-window,6,pass,1,0,7,after_commit,0,none,0,322,629,629,0,committed,0,ok,0,ok,629,629,6,0,4095,reg-bitflip-window,reg,r0,0x1c2,4,0x0,3,5,13,5
checkpoint,c,reg-bitflip-window,7,pass,1,0,7,after_commit,0,none,0,359,682,682,0,committed,0,ok,0,ok,682,682,7,0,4095,reg-bitflip-window,reg,r2,0xa16,33,0x0,1,27,25,5
checkpoint,c,reg-bitflip-window,8,pass,1,0,7,after_commit,0,none,0,396,735,735,0,committed,0,ok,0,ok,735,735,8,0,4095,reg-bitflip-window,reg,r1,0xa10,31,0x0,4,2744,2728,5
checkpoint,c,reg-bitflip-window,9,pass,1,0,7,after_commit,0,none,0,433,788,788,0,committed,0,ok,0,ok,788,788,9,0,4095,reg-bitflip-window,reg,r4,0x4f6,56,0x0,11,1000,3048,5
checkpoint,c,reg-bitflip-window,10,pass,1,0,7,after_commit,0,none,0,470,141,141,0,committed,0,ok,0,ok,141,141,10,0,4095,reg-bitflip-window,reg,r5,0x4d6,49,0x0,5,6,38,5
checkpoint,c,reg-bitflip-window,11,pass,1,0,7,after_commit,0,none,0,507,194,194,0,committed,0,ok,0,ok,194,194,11,0,4095,reg-bitflip-window,reg,r2,0xa14,32,0x0,14,27,16411,5
checkpoint,c,reg-bitflip-window,12,pass,1,0,7,after_commit,0,none,0,544,247,247,0,committed,0,ok,0,ok,247,247,12,0,4095,reg-bitflip-window,reg,r2,0x516,62,0x0,14,27,16411,5
checkpoint,c,reg-bitflip-window,13,pass,1,0,7,after_commit,0,none,0,581,300,300,0,committed,0,ok,0,ok,300,300,13,0,4095,reg-bitflip-window,reg,r2,0x61c,25,0x0,7,27,155,5
checkpoint,c,reg-bitflip-window,14,pass,1,0,7,after_commit,0,none,0,618,353,353,0,committed,0,ok,0,ok,353,353,14,0,4095,reg-bitflip-window,reg,r2,0x600,15,0x0,1,27,25,5
checkpoint,c,reg-bitflip-window,15,pass,1,0,7,after_commit,0,none,0,655,406,406,0,committed,0,ok,0,ok,406,406,15,0,4095,reg-bitflip-window,reg,r2,0x4ba,38,0x0,9,27,539,5
checkpoint,c,reg-bitflip-window,16,pass,1,0,7,after_commit,0,none,0,692,459,459,0,committed,0,ok,0,ok,459,459,16,0,4095,reg-bitflip-window,reg,r2,0x4ee,52,0x0,9,27,539,5
checkpoint,c,reg-bitflip-window,17,pass,1,0,7,after_commit,0,none,0,729,512,512,0,committed,0,ok,0,ok,512,512,17,0,4095,reg-bitflip-window,reg,r2,0x4d4,48,0x0,13,27,8219,5
checkpoint,c,reg-bitflip-window,18,pass,1,0,7,after_commit,0,none,0,766,565,565,0,committed,0,ok,0,ok,565,565,18,0,4095,reg-bitflip-window,reg,r0,0x70,2,0x0,3,5,13,5
checkpoint,c,reg-bitflip-window,19,pass,1,0,7,after_commit,0,none,0,103,618,618,0,committed,0,ok,0,ok,618,618,19,0,4095,reg-bitflip-window,reg,r4,0xa16,33,0x0,15,1000,33768,5
checkpoint,c,reg-bitflip-window,20,pass,1,0,7,after_commit,0,none,0,140,671,671,0,committed,0,ok,0,ok,671,671,20,0,4095,reg-bitflip-window,reg,r2,0x4fe,59,0x0,14,27,16411,5
