technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
checkpoint,c,0,0xa11092dd5323d70d,reg-bitflip-window,0x00000000c0dec0de,masked,522,522,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x526,8,11,541064968,541062920,completed,0,0,67,4505,5
checkpoint,c,1,0xd2f5afb594494fe6,reg-bitflip-window,0x00000000c0dec0de,masked,324,324,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x526,8,18,6,262150,completed,0,0,67,4505,5
checkpoint,c,2,0xed8fa4487766327b,reg-bitflip-window,0x00000000c0dec0de,masked,380,380,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x51c,1,19,0,524288,completed,0,0,67,4505,5
checkpoint,c,3,0x784eb95e0d670177,reg-bitflip-window,0x00000000c0dec0de,masked,365,365,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x136,2,24,0,16777216,completed,0,0,67,4505,5
checkpoint,c,4,0x7576196fccc66505,reg-bitflip-window,0x00000000c0dec0de,masked,610,610,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x51c,1,0,541065016,541065017,completed,0,0,67,4505,5
checkpoint,c,5,0x544fcaf8f3204fc2,reg-bitflip-window,0x00000000c0dec0de,masked,683,683,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x520,5,1,0,2,completed,0,0,67,4505,5
checkpoint,c,6,0x9f2f1dde3e830f80,reg-bitflip-window,0x00000000c0dec0de,masked,427,427,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x51c,1,16,541064968,540999432,completed,0,0,67,4505,5
checkpoint,c,7,0xf3000688c8fb718f,reg-bitflip-window,0x00000000c0dec0de,masked,608,608,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x138,3,29,1,536870913,completed,0,0,67,4505,5
checkpoint,c,8,0xe23ea5fe3454b7a4,reg-bitflip-window,0x00000000c0dec0de,crash,,,,,,,,,,,,,,,,,,,exit:-6,0,,1586,,
checkpoint,c,9,0x670ea8c5064bd8f8,reg-bitflip-window,0x00000000c0dec0de,masked,592,592,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x136,2,10,541065208,541064184,completed,0,0,67,4505,5
checkpoint,c,10,0xdfe0e51298ab3090,reg-bitflip-window,0x00000000c0dec0de,masked,526,526,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x138,3,12,541064968,541060872,completed,0,0,67,4505,5
checkpoint,c,11,0x91b9c7ad0aa7d123,reg-bitflip-window,0x00000000c0dec0de,masked,490,490,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x13a,4,19,0,524288,completed,0,0,67,4505,5
checkpoint,c,12,0xf3cc7d514435c266,reg-bitflip-window,0x00000000c0dec0de,masked,607,607,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x524,7,12,541065076,541060980,completed,0,0,67,4505,5
checkpoint,c,13,0x3fe853d46718e80b,reg-bitflip-window,0x00000000c0dec0de,masked,109,109,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x13a,4,25,0,33554432,completed,0,0,63,4505,5
checkpoint,c,14,0x6faa5f4f9c883a65,reg-bitflip-window,0x00000000c0dec0de,masked,697,697,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x138,3,11,1000,3048,completed,0,0,67,4505,5
checkpoint,c,15,0xa310e7f3ddacf74b,reg-bitflip-window,0x00000000c0dec0de,masked,469,469,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x522,6,18,0,262144,completed,0,0,67,4505,5
checkpoint,c,16,0x47d79d15aacd3fbe,reg-bitflip-window,0x00000000c0dec0de,masked,457,457,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x522,6,30,541064968,1614806792,completed,0,0,67,4505,5
checkpoint,c,17,0xcb7e503f7add4383,reg-bitflip-window,0x00000000c0dec0de,masked,624,624,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x136,2,29,0,536870912,completed,0,0,67,4505,5
checkpoint,c,18,0xe379648657af0bf3,reg-bitflip-window,0x00000000c0dec0de,masked,115,115,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x51c,1,15,0,32768,completed,0,0,67,4505,5
checkpoint,c,19,0x1d35f83ae1ed4a5e,reg-bitflip-window,0x00000000c0dec0de,masked,472,472,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x520,5,29,6,536870918,completed,0,0,67,4505,5
