technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
checkpoint,zig,0,0xa0d68d257c4891a1,none,0x00000000c0dec0de,masked,561,561,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,1,0xc9524fb9344abf16,none,0x00000000c0dec0de,masked,657,657,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,2,0x26b65db1dc1e25e4,none,0x00000000c0dec0de,masked,171,171,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,3,0x1dda63548c72b889,none,0x00000000c0dec0de,masked,254,254,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,2853,5
checkpoint,zig,4,0x7711ba71204de3d4,none,0x00000000c0dec0de,masked,342,342,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,5,0x5dd912348bab5196,none,0x00000000c0dec0de,masked,471,471,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,2853,5
checkpoint,zig,6,0x3c64a192d2171e02,none,0x00000000c0dec0de,masked,294,294,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,7,0x2086584f480a0213,none,0x00000000c0dec0de,masked,482,482,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,8,0x48bf868cb6cbbc39,none,0x00000000c0dec0de,masked,670,670,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,9,0xb05dc2e8264ada69,none,0x00000000c0dec0de,masked,165,165,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,10,0x6fc4402724951662,none,0x00000000c0dec0de,masked,416,416,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,11,0xccf74c5919e48f6c,none,0x00000000c0dec0de,masked,421,421,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,12,0xfbf891da3879aad4,none,0x00000000c0dec0de,masked,324,324,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,2853,5
checkpoint,zig,13,0x4dd8784aa80682a8,none,0x00000000c0dec0de,masked,180,180,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,14,0x9c60405056d6b40d,none,0x00000000c0dec0de,masked,775,775,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,15,0xb69a666b9ed26901,none,0x00000000c0dec0de,masked,145,145,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,16,0x268cab956b7c3c1f,none,0x00000000c0dec0de,masked,323,323,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,17,0xaf34a94063fab6c6,none,0x00000000c0dec0de,masked,230,230,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,18,0xc67295d3e54f4007,none,0x00000000c0dec0de,masked,415,415,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
checkpoint,zig,19,0x2d62f5f9f22954e9,none,0x00000000c0dec0de,masked,648,648,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2853,5
