technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
checkpoint,zig,0,0x3069661567766257,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,217,760,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_max,0x20000048,0x1c7c8,0,21,1000,2098152,completed,0,0,67,3307,5
checkpoint,zig,1,0xdf3de347bf6dc760,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,348,255,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_min,0x2000004c,0x1c7c8,0,14,0,16384,completed,0,0,67,2982,5
checkpoint,zig,2,0x7ea5aa8161445e84,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,586,265,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_min,0x2000004c,0x1c7c8,0,17,0,131072,completed,0,0,67,2982,5
checkpoint,zig,3,0xfda94f1368db5677,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,477,648,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_capacity,0x20000038,0x1c7c8,0,28,16,268435472,completed,0,0,67,3307,5
checkpoint,zig,4,0x0605bdd0c7708a2f,ram-symbol-bitflip,0x00000000c0dec0de,masked,750,750,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_tag,0x20000024,0x1c7c8,0,6,1,65,completed,0,0,67,2853,5
checkpoint,zig,5,0xb630ebd58d7fabae,ram-symbol-bitflip,0x00000000c0dec0de,masked,265,265,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_tag,0x20000024,0x1c7c8,0,26,1,67108865,completed,0,0,67,2853,5
checkpoint,zig,6,0x4f41e11da7c5703c,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,516,433,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_capacity,0x20000038,0x1c7c8,0,24,16,16777232,completed,0,0,67,3307,5
checkpoint,zig,7,0xa1d08de2e92ae065,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,345,726,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_capacity,0x20000038,0x1c7c8,0,27,16,134217744,completed,0,0,67,3307,5
checkpoint,zig,8,0xaabb5c532e1210e2,ram-symbol-bitflip,0x00000000c0dec0de,masked,557,557,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_value,0x2000001c,0x1c7c8,0,11,200,2248,completed,0,0,67,2853,5
checkpoint,zig,9,0x93d63d87577a247b,ram-symbol-bitflip,0x00000000c0dec0de,masked,278,278,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_capacity,0x20000004,0x1c7c8,0,26,16,67108880,completed,0,0,67,2853,5
checkpoint,zig,10,0x8e6c3af1b4e23dea,ram-symbol-bitflip,0x00000000c0dec0de,masked,355,355,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_max,0x20000010,0x1c7c8,0,26,1000,67109864,completed,0,0,67,2853,5
checkpoint,zig,11,0xeea64b7e90bb72a1,ram-symbol-bitflip,0x00000000c0dec0de,masked,319,319,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_tag,0x20000024,0x1c7c8,0,18,1,262145,completed,0,0,67,2853,5
checkpoint,zig,12,0x736da59fd2001c07,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,242,302,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_length,0x20000040,0x1c7c8,0,4,6,22,completed,0,0,67,3031,5
checkpoint,zig,13,0x7cb1490e8f8547f9,ram-symbol-bitflip,0x00000000c0dec0de,masked,413,413,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_checksum,0x2000005c,0x1c7c8,0,18,3860710867,3860448723,completed,0,0,67,2853,5
checkpoint,zig,14,0xf8c312b8eb95e135,ram-symbol-bitflip,0x00000000c0dec0de,masked,230,230,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_checksum,0x2000005c,0x1c7c8,0,31,2654396977,506913329,completed,0,0,67,2853,5
checkpoint,zig,15,0xd32db67b9b880b94,ram-symbol-bitflip,0x00000000c0dec0de,masked,780,780,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_value,0x2000001c,0x1c7c8,0,31,653,2147484301,completed,0,0,67,2853,5
checkpoint,zig,16,0xcd1bdfaa3aa9ce74,ram-symbol-bitflip,0x00000000c0dec0de,masked,747,747,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_max,0x20000010,0x1c7c8,0,27,1000,134218728,completed,0,0,67,2853,5
checkpoint,zig,17,0x987b3ee116babaa5,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,449,450,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_min,0x2000004c,0x1c7c8,0,6,0,64,completed,0,0,67,3307,5
checkpoint,zig,18,0x064ebcb31839e90b,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,706,302,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_active_min,0x2000004c,0x1c7c8,0,23,0,8388608,completed,0,0,67,2982,5
checkpoint,zig,19,0xef27a36c569e1c3b,ram-symbol-bitflip,0x00000000c0dec0de,masked,310,310,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_checkpoint_saved_capacity,0x20000004,0x1c7c8,0,20,16,1048592,completed,0,0,67,2853,5
