technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,initial_value,expected,value,restart_status,restart_status_name,active_check,active_check_name,checkpoint_check,checkpoint_check_name,active_value,checkpoint_value,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
checkpoint,zig,reg-bitflip-window,1,pass,1,0,7,after_commit,0,none,0,137,364,364,0,committed,0,ok,0,ok,364,364,1,0,4095,reg-bitflip-window,reg,r8,0x1c722,1,0x0,6,16,80,5
checkpoint,zig,reg-bitflip-window,2,pass,1,0,7,after_commit,0,none,0,174,417,417,0,committed,0,ok,0,ok,417,417,2,0,4095,reg-bitflip-window,reg,r5,0x1c0b4,49,0x0,4,1000,1016,5
checkpoint,zig,reg-bitflip-window,3,pass,1,0,7,after_commit,0,none,0,211,470,470,0,committed,0,ok,0,ok,470,470,3,0,4095,reg-bitflip-window,reg,r2,0x1c722,1,0x0,5,5,37,5
checkpoint,zig,reg-bitflip-window,4,pass,1,0,7,after_commit,0,none,0,248,523,523,0,committed,0,ok,0,ok,523,523,4,0,4095,reg-bitflip-window,reg,r5,0x1cb32,32,0x0,1,1000,1002,5
checkpoint,zig,reg-bitflip-window,5,pass,1,0,7,after_commit,0,none,0,285,576,576,0,committed,0,ok,0,ok,576,576,5,0,4095,reg-bitflip-window,reg,r1,0x1c5f0,64,0x0,15,68,32836,5
checkpoint,zig,reg-bitflip-window,6,pass,1,0,7,after_commit,0,none,0,322,629,629,0,committed,0,ok,0,ok,629,629,6,0,4095,reg-bitflip-window,reg,r8,0x1c014,4,0x0,3,16,24,5
checkpoint,zig,reg-bitflip-window,7,pass,1,0,7,after_commit,0,none,0,359,682,682,0,committed,0,ok,0,ok,682,682,7,0,4095,reg-bitflip-window,reg,r8,0x1cb34,33,0x0,1,16,18,5
checkpoint,zig,reg-bitflip-window,8,pass,1,0,7,after_commit,0,none,0,396,735,735,0,committed,0,ok,0,ok,735,735,8,0,4095,reg-bitflip-window,reg,r2,0x1cb30,31,0x0,4,5,21,5
checkpoint,zig,reg-bitflip-window,9,pass,1,0,7,after_commit,0,none,0,433,788,788,0,committed,0,ok,0,ok,788,788,9,0,4095,reg-bitflip-window,reg,r5,0x1c5d4,56,0x0,11,1000,3048,5
checkpoint,zig,reg-bitflip-window,10,pass,1,0,7,after_commit,0,none,0,470,141,141,0,committed,0,ok,0,ok,141,141,10,0,4095,reg-bitflip-window,reg,r5,0x1c0b4,49,0x0,5,1000,968,5
checkpoint,zig,reg-bitflip-window,11,pass,1,0,7,after_commit,0,none,0,507,194,194,0,committed,0,ok,0,ok,194,194,11,0,4095,reg-bitflip-window,reg,r8,0x1cb32,32,0x0,14,16,16400,5
checkpoint,zig,reg-bitflip-window,12,pass,1,0,7,after_commit,0,none,0,544,247,247,0,committed,0,ok,0,ok,247,247,12,0,4095,reg-bitflip-window,reg,r8,0x1c5ea,62,0x0,14,16,16400,5
checkpoint,zig,reg-bitflip-window,13,pass,1,0,7,after_commit,0,none,0,581,300,300,0,committed,0,ok,0,ok,300,300,13,0,4095,reg-bitflip-window,reg,r2,0x1c5a8,25,0x0,7,5,133,5
checkpoint,zig,reg-bitflip-window,14,pass,1,0,7,after_commit,3205169152,unknown_3205169152,0,618,353,353,0,committed,0,ok,0,ok,353,353,14,0,4095,reg-bitflip-window,reg,r1,0x1c59e,15,0x0,1,68,70,5
checkpoint,zig,reg-bitflip-window,15,pass,1,0,7,after_commit,0,none,0,655,406,406,0,committed,0,ok,0,ok,406,406,15,0,4095,reg-bitflip-window,reg,r8,0x1c5ba,38,0x0,9,16,528,5
checkpoint,zig,reg-bitflip-window,16,pass,1,0,7,after_commit,0,none,0,692,459,459,0,committed,0,ok,0,ok,459,459,16,0,4095,reg-bitflip-window,reg,r6,0x1c0ba,52,0x0,9,6,518,5
checkpoint,zig,reg-bitflip-window,17,pass,1,0,7,after_commit,0,none,0,729,512,512,0,committed,0,ok,0,ok,512,512,17,0,4095,reg-bitflip-window,reg,r5,0x1c0b2,48,0x0,13,1000,9192,5
checkpoint,zig,reg-bitflip-window,18,pass,1,0,7,after_commit,0,none,0,766,565,565,0,committed,0,ok,0,ok,565,565,18,0,4095,reg-bitflip-window,reg,r2,0x1c724,2,0x0,3,5,13,5
checkpoint,zig,reg-bitflip-window,19,pass,1,0,7,after_commit,0,none,0,103,618,618,0,committed,0,ok,0,ok,618,618,19,0,4095,reg-bitflip-window,reg,r5,0x1cb34,33,0x0,15,1000,33768,5
checkpoint,zig,reg-bitflip-window,20,pass,1,0,7,after_commit,0,none,0,140,671,671,0,committed,0,ok,0,ok,671,671,20,0,4095,reg-bitflip-window,reg,r5,0x1c5da,59,0x0,14,1000,17384,5
