technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
checkpoint,zig,0,0x538f43cc30589099,reg-bitflip-window,0x00000000c0dec0de,masked,671,671,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x1c7ca,2,25,541064940,574619372,completed,0,0,67,2853,5
checkpoint,zig,1,0x76c3c00398dc4e3a,reg-bitflip-window,0x00000000c0dec0de,masked,339,339,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1c4ba,3,23,541064744,549453352,completed,0,0,67,2853,5
checkpoint,zig,2,0x8bb67d742cb18cfd,reg-bitflip-window,0x00000000c0dec0de,masked,671,671,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1c24c,8,7,0,128,completed,0,0,67,2853,5
checkpoint,zig,3,0xddd24557f1ac952b,reg-bitflip-window,0x00000000c0dec0de,masked,466,466,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x1bf72,7,3,1000,992,completed,0,0,67,2853,5
checkpoint,zig,4,0x8920e331e7cfca86,reg-bitflip-window,0x00000000c0dec0de,masked,356,356,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1bf72,7,28,541065208,809500664,completed,0,0,67,2853,5
checkpoint,zig,5,0x778331c96edfa327,reg-bitflip-window,0x00000000c0dec0de,masked,668,668,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1bf6e,5,23,6,8388614,completed,0,0,67,2853,5
checkpoint,zig,6,0xf0feee59607bf868,reg-bitflip-window,0x00000000c0dec0de,masked,358,358,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1c4ba,3,2,6,2,completed,0,0,63,2853,5
checkpoint,zig,7,0x5634e84b13f2d036,reg-bitflip-window,0x00000000c0dec0de,masked,210,210,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x1bf6c,4,2,0,4,completed,0,0,67,2853,5
checkpoint,zig,8,0x61e251a572ee8dcb,reg-bitflip-window,0x00000000c0dec0de,masked,444,444,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x1bf72,7,24,1000,16778216,completed,0,0,67,2853,5
checkpoint,zig,9,0xb09a02d4e75b349d,reg-bitflip-window,0x00000000c0dec0de,masked,670,670,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1bf6e,5,0,6,7,completed,0,0,67,2853,5
checkpoint,zig,10,0x99bf2a4cad6ac295,reg-bitflip-window,0x00000000c0dec0de,crash,,,,,,,,,,,,,,,,,,,exit:-6,0,,1547,,
checkpoint,zig,11,0xe9a6828c3fe9ea9a,reg-bitflip-window,0x00000000c0dec0de,masked,149,149,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1bf6c,4,4,0,16,completed,0,0,67,2853,5
checkpoint,zig,12,0xdf15c71888829c98,reg-bitflip-window,0x00000000c0dec0de,masked,279,279,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1c4ba,3,28,6,268435462,completed,0,0,67,2853,5
checkpoint,zig,13,0x87905d52f07dbff2,reg-bitflip-window,0x00000000c0dec0de,masked,286,286,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x1bf6c,4,5,0,32,completed,0,0,67,2853,5
checkpoint,zig,14,0xda63dfb51bc8e6ea,reg-bitflip-window,0x00000000c0dec0de,masked,528,528,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1bf70,6,22,0,4194304,completed,0,0,67,2853,5
checkpoint,zig,15,0x7ebf5c4e8118c226,reg-bitflip-window,0x00000000c0dec0de,masked,327,327,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1c7c8,1,5,0,32,completed,0,0,67,2853,5
checkpoint,zig,16,0x71fddb75b350901b,reg-bitflip-window,0x00000000c0dec0de,masked,535,535,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1bf72,7,19,0,524288,completed,0,0,67,2853,5
checkpoint,zig,17,0x1c5fb61d86478f12,reg-bitflip-window,0x00000000c0dec0de,masked,687,687,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x1bf6e,5,28,1000,268436456,completed,0,0,63,2853,5
checkpoint,zig,18,0xe0ddce6d84f4c15b,reg-bitflip-window,0x00000000c0dec0de,masked,184,184,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x1bf72,7,26,0,67108864,completed,0,0,67,2853,5
checkpoint,zig,19,0x166ae6851a64d94a,reg-bitflip-window,0x00000000c0dec0de,masked,733,733,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1c7c8,1,31,541064736,2688548384,completed,0,0,67,2853,5
