technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
control-flow,c,0,0xe3bf66a67f4a89cb,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,826,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e0,0x22c,4,11,2740093038,2740095086,completed,0,0,67,646,5
control-flow,c,1,0xfdaaf1799e2eab8d,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,584,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,19,0,524288,completed,0,0,67,544,5
control-flow,c,2,0x0617254c41facebe,ram-symbol-bitflip,0x00000000c0dec0de,masked,844,844,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,29,0,536870912,completed,0,0,63,2367,5
control-flow,c,3,0x531238e58f95576b,ram-symbol-bitflip,0x00000000c0dec0de,masked,469,469,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,30,0,1073741824,completed,0,0,67,2367,5
control-flow,c,4,0xfbbd8832f4793601,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,468,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e0,0x22c,4,8,2740093038,2740093294,completed,0,0,67,646,5
control-flow,c,5,0xd130a0b13a7971e4,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,945,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,27,0,134217728,completed,0,0,67,544,5
control-flow,c,6,0x0c84742bd891d4df,ram-symbol-bitflip,0x00000000c0dec0de,masked,655,655,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,2,0,4,completed,0,0,63,2367,5
control-flow,c,7,0xcb4da3f687cb00f5,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,194,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,0,0,1,completed,0,0,67,544,5
control-flow,c,8,0x0a7caaf3c76d966a,ram-symbol-bitflip,0x00000000c0dec0de,masked,480,480,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,21,0,2097152,completed,0,0,67,2367,5
control-flow,c,9,0x838c9c17c2ffa132,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,696,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,13,0,8192,completed,0,0,67,544,5
control-flow,c,10,0xdbdbaa8bc8887edc,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,482,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e0,0x22c,4,10,2740093038,2740094062,completed,0,0,67,646,5
control-flow,c,11,0xf33bd663bff488a4,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,114,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,24,0,16777216,completed,0,0,67,544,5
control-flow,c,12,0x24b5d3f2b2b7e84a,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,927,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,4,0,16,completed,0,0,67,544,5
control-flow,c,13,0x1a4993c1179fdbe7,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,591,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e0,0x22c,4,1,2740093038,2740093036,completed,0,0,63,646,5
control-flow,c,14,0xfdcc388e14482351,ram-symbol-bitflip,0x00000000c0dec0de,masked,289,289,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,25,0,33554432,completed,0,0,63,2367,5
control-flow,c,15,0xbcab90f340f5749b,ram-symbol-bitflip,0x00000000c0dec0de,masked,691,691,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,8,0,256,completed,0,0,67,2367,5
control-flow,c,16,0xe220a572041c58f7,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,260,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002dc,0x22c,0,30,0,1073741824,completed,0,0,67,544,5
control-flow,c,17,0x45d0c94e2f22bd67,ram-symbol-bitflip,0x00000000c0dec0de,masked,751,751,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e4,0x22c,8,26,0,67108864,completed,0,0,67,2367,5
control-flow,c,18,0x345704b6b3071793,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,260,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e0,0x22c,4,1,2740093038,2740093036,completed,0,0,67,646,5
control-flow,c,19,0x43c90869bb5c8812,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,863,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_flow_monitor,0x200002e0,0x22c,4,12,2740093038,2740097134,completed,0,0,67,646,5
