technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
control-flow,c,0,0x1ba6b0298d94a8e2,reg-bitflip-window,0x00000000c0dec0de,masked,760,760,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x238,8,26,0,67108864,completed,0,0,67,2367,5
control-flow,c,1,0x4d2496eefcaa8b5c,reg-bitflip-window,0x00000000c0dec0de,masked,812,812,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x238,8,18,0,262144,completed,0,0,63,2367,5
control-flow,c,2,0x17ef2fb08024e06d,reg-bitflip-window,0x00000000c0dec0de,masked,879,879,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x232,5,19,0,524288,completed,0,0,67,2367,5
control-flow,c,3,0xcf06cf4762641baf,reg-bitflip-window,0x00000000c0dec0de,masked,475,475,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x230,4,17,541065208,540934136,completed,0,0,67,2367,5
control-flow,c,4,0x2a5f828433373c2a,reg-bitflip-window,0x00000000c0dec0de,masked,769,769,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x232,5,13,541065208,541057016,completed,0,0,67,2367,5
control-flow,c,5,0x717b21d9270fd3f9,reg-bitflip-window,0x00000000c0dec0de,masked,607,607,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0xba,3,24,0,16777216,completed,0,0,63,2367,5
control-flow,c,6,0x2172c853dcc2a6a1,reg-bitflip-window,0x00000000c0dec0de,masked,161,161,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0xba,3,6,0,64,completed,0,0,67,2367,5
control-flow,c,7,0x02cf94d0474f53c6,reg-bitflip-window,0x00000000c0dec0de,masked,295,295,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x236,7,15,0,32768,completed,0,0,67,2367,5
control-flow,c,8,0xaf4bc53853c13763,reg-bitflip-window,0x00000000c0dec0de,masked,958,958,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x232,5,20,0,1048576,completed,0,0,67,2367,5
control-flow,c,9,0x9fb7ab8ec59247e9,reg-bitflip-window,0x00000000c0dec0de,masked,670,670,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x234,6,3,0,8,completed,0,0,67,2367,5
control-flow,c,10,0xb820bc8c47d963b0,reg-bitflip-window,0x00000000c0dec0de,masked,392,392,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x236,7,17,0,131072,completed,0,0,63,2367,5
control-flow,c,11,0xa890ae162ba79088,reg-bitflip-window,0x00000000c0dec0de,masked,919,919,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x232,5,9,541065208,541064696,completed,0,0,67,2367,5
control-flow,c,12,0xd765c00d32f1ab4e,reg-bitflip-window,0x00000000c0dec0de,masked,405,405,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x230,4,31,2740093038,592609390,completed,0,0,67,2367,5
control-flow,c,13,0x1c19c2abf99d75f3,reg-bitflip-window,0x00000000c0dec0de,masked,725,725,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x230,4,14,0,16384,completed,0,0,67,2367,5
control-flow,c,14,0xd1d24b5d546026ad,reg-bitflip-window,0x00000000c0dec0de,masked,528,528,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x22c,1,11,2740093038,2740095086,completed,0,0,67,2367,5
control-flow,c,15,0x5f1a08f375ee5458,reg-bitflip-window,0x00000000c0dec0de,masked,277,277,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0xb8,2,10,0,1024,completed,0,0,63,2367,5
control-flow,c,16,0xa40835765fcf637d,reg-bitflip-window,0x00000000c0dec0de,masked,261,261,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x22c,1,24,1,16777217,completed,0,0,67,2367,5
control-flow,c,17,0x8a1f192a51786dd2,reg-bitflip-window,0x00000000c0dec0de,masked,600,600,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x234,6,1,536871692,536871694,completed,0,0,67,2367,5
control-flow,c,18,0x480a920c267ebe3b,reg-bitflip-window,0x00000000c0dec0de,masked,395,395,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x232,5,5,0,32,completed,0,0,67,2367,5
control-flow,c,19,0xc0bb4c6e797094e1,reg-bitflip-window,0x00000000c0dec0de,masked,270,270,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0xb8,2,23,0,8388608,completed,0,0,67,2367,5
