technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
control-flow,zig,0,0x5647060c10fdb254,none,0x00000000c0dec0de,masked,821,821,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,1,0xb562566df0b8c995,none,0x00000000c0dec0de,masked,277,277,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,2,0x9c218c33697ebb63,none,0x00000000c0dec0de,masked,824,824,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,3,0x58fc5e6234464c1d,none,0x00000000c0dec0de,masked,876,876,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,4,0x8fd0299940129dba,none,0x00000000c0dec0de,masked,439,439,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,5,0x78aac5f2e5eacf1e,none,0x00000000c0dec0de,masked,768,768,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,6,0x2546e48ab92d9c80,none,0x00000000c0dec0de,masked,501,501,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,7,0x4ecebf7b2bddb0d7,none,0x00000000c0dec0de,masked,797,797,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,8,0x040b06336d7069e8,none,0x00000000c0dec0de,masked,483,483,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,9,0x345406eeb1088a63,none,0x00000000c0dec0de,masked,200,200,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,2743,5
control-flow,zig,10,0xb36e7f53d3f54c66,none,0x00000000c0dec0de,masked,969,969,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,2743,5
control-flow,zig,11,0xc66d200e34bb82f9,none,0x00000000c0dec0de,masked,992,992,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,12,0x2a79274506021b1c,none,0x00000000c0dec0de,masked,189,189,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,13,0x0dec345e27d6ad67,none,0x00000000c0dec0de,masked,542,542,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,14,0xa1da52e159a3447d,none,0x00000000c0dec0de,masked,398,398,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,15,0xa7cc5508a285ce1e,none,0x00000000c0dec0de,masked,173,173,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,16,0x3c14e35051d13bd1,none,0x00000000c0dec0de,masked,731,731,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,17,0x8098788f5435ecc2,none,0x00000000c0dec0de,masked,830,830,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,18,0x236a2d62291072db,none,0x00000000c0dec0de,masked,1000,1000,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
control-flow,zig,19,0x17201ded232ff969,none,0x00000000c0dec0de,masked,292,292,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,2743,5
