technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
control-flow,zig,0,0x497d26580209bfa9,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,713,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_phase,0x2000002c,0x1c418,0,28,0,268435456,completed,0,0,67,848,5
control-flow,zig,1,0xe9a28ef263616db7,ram-symbol-bitflip,0x00000000c0dec0de,masked,721,721,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_transitions,0x20000030,0x1c418,0,22,0,4194304,completed,0,0,67,2743,5
control-flow,zig,2,0xc113a4f1aee4306c,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,982,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_phase,0x2000002c,0x1c418,0,29,0,536870912,completed,0,0,67,848,5
control-flow,zig,3,0xba5bbfc0f7bf7573,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,451,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_phase,0x2000002c,0x1c418,0,22,0,4194304,completed,0,0,67,848,5
control-flow,zig,4,0x6c597f7d343f4026,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,933,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_phase,0x2000002c,0x1c418,0,16,0,65536,completed,0,0,67,848,5
control-flow,zig,5,0xf85b15d2eb3816cb,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,522,1,0,1,1,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_phase,0x2000002c,0x1c418,0,16,0,65536,completed,0,0,67,848,5
control-flow,zig,6,0xe31bf8afd30611dd,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,164,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_signature,0x20000024,0x1c418,0,2,2740093038,2740093034,completed,0,0,67,929,5
control-flow,zig,7,0x619d4ac1154bf6fd,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,0,886,1,0,1,2,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_signature,0x20000024,0x1c418,0,31,2740093038,592609390,completed,0,0,67,929,5
control-flow,zig,8,0x84b701bad0805496,ram-symbol-bitflip,0x00000000c0dec0de,masked,613,613,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_transitions,0x20000030,0x1c418,0,24,0,16777216,completed,0,0,67,2743,5
control-flow,zig,9,0x562952ed2cb119cb,ram-symbol-bitflip,0x00000000c0dec0de,masked,414,414,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_control_transitions,0x20000030,0x1c418,0,31,0,2147483648,completed,0,0,67,2743,5
