technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
control-flow,zig,0,0xf3fbd0bd396be72f,reg-bitflip-window,0x00000000c0dec0de,masked,205,205,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1c02e,8,29,0,536870912,completed,0,0,67,2743,5
control-flow,zig,1,0x5424d32d1a69f812,reg-bitflip-window,0x00000000c0dec0de,masked,301,301,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1c02e,8,21,0,2097152,completed,0,0,67,2743,5
control-flow,zig,2,0x0dd94dc6cf927219,reg-bitflip-window,0x00000000c0dec0de,masked,583,583,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x1c02e,8,31,0,2147483648,completed,0,0,67,2743,5
control-flow,zig,3,0x29184d8c29aff931,reg-bitflip-window,0x00000000c0dec0de,masked,572,572,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1c02e,8,11,541065208,541063160,completed,0,0,67,2743,5
control-flow,zig,4,0xe9e16d1ba126bb87,reg-bitflip-window,0x00000000c0dec0de,masked,273,273,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1bf32,6,10,0,1024,completed,0,0,67,2743,5
control-flow,zig,5,0x5ba36fd34b96935a,reg-bitflip-window,0x00000000c0dec0de,masked,616,616,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1bf32,6,29,541065208,4194296,completed,0,0,67,2743,5
control-flow,zig,6,0x518ffd4d089a0df5,reg-bitflip-window,0x00000000c0dec0de,masked,691,691,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1c02e,8,14,0,16384,completed,0,0,67,2743,5
control-flow,zig,7,0x9cbda4d4cdbd05ff,reg-bitflip-window,0x00000000c0dec0de,masked,392,392,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x1bf30,5,3,0,8,completed,0,0,67,2743,5
control-flow,zig,8,0xd0a0704959188c35,reg-bitflip-window,0x00000000c0dec0de,masked,725,725,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1bf32,6,8,541065208,541064952,completed,0,0,67,2743,5
control-flow,zig,9,0xc698238f7d700fa3,reg-bitflip-window,0x00000000c0dec0de,masked,427,427,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x1c02e,8,7,1,129,completed,0,0,67,2743,5
control-flow,zig,10,0x81aac68deafa6948,reg-bitflip-window,0x00000000c0dec0de,masked,907,907,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1c41a,2,27,0,134217728,completed,0,0,67,2743,5
control-flow,zig,11,0x4bd98a558ff5020e,reg-bitflip-window,0x00000000c0dec0de,sdc,408,410,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1bf30,5,1,403,401,completed,0,0,67,2743,5
control-flow,zig,12,0x860778054396a4da,reg-bitflip-window,0x00000000c0dec0de,sdc,747,743,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1bf30,5,2,736,740,completed,0,0,67,2743,5
control-flow,zig,13,0x62b28293febba470,reg-bitflip-window,0x00000000c0dec0de,masked,538,538,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1c14e,3,12,541064992,541060896,completed,0,0,63,2743,5
control-flow,zig,14,0x52815894f1600698,reg-bitflip-window,0x00000000c0dec0de,masked,151,151,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x1bf32,6,18,2496678331,2496940475,completed,0,0,67,2743,5
control-flow,zig,15,0x8a56312eecc9fb65,reg-bitflip-window,0x00000000c0dec0de,masked,874,874,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1c02e,8,18,0,262144,completed,0,0,67,2743,5
control-flow,zig,16,0x7f6c3c11cec5b58c,reg-bitflip-window,0x00000000c0dec0de,masked,896,896,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x1c02e,8,3,0,8,completed,0,0,67,2743,5
control-flow,zig,17,0x16bb51364e783588,reg-bitflip-window,0x00000000c0dec0de,masked,228,228,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1c14e,3,24,0,16777216,completed,0,0,63,2743,5
control-flow,zig,18,0xc5ec0982a858282e,reg-bitflip-window,0x00000000c0dec0de,masked,354,354,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x1bf32,6,29,0,536870912,completed,0,0,67,2743,5
control-flow,zig,19,0x7b977fca1690f287,reg-bitflip-window,0x00000000c0dec0de,masked,380,380,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1bf2e,4,3,0,8,completed,0,0,63,2743,5
