technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
recovery-block,c,0,0x9c860b21c62404bd,none,0x00000000c0dec0de,masked,335,335,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,1,0xf65cea01b6bcfd10,none,0x00000000c0dec0de,masked,589,589,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,2,0xcac23145c3ddd155,none,0x00000000c0dec0de,masked,509,509,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,3,0xbcd9afdc03061420,none,0x00000000c0dec0de,masked,186,186,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,4,0x216d0c22cd342f77,none,0x00000000c0dec0de,masked,205,205,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,5,0x04e8fc17c64864d6,none,0x00000000c0dec0de,masked,774,774,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,6,0xf71824ba12ae6774,none,0x00000000c0dec0de,masked,363,363,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,7,0x3436948114366a42,none,0x00000000c0dec0de,masked,627,627,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,8,0x9c990295caf4631b,none,0x00000000c0dec0de,masked,295,295,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,9,0xacf5a57efe73bb19,none,0x00000000c0dec0de,masked,563,563,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,10,0x31067db6274932f7,none,0x00000000c0dec0de,masked,678,678,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,11,0x9a1d124b8fd173ad,none,0x00000000c0dec0de,masked,315,315,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,12,0xcf5b2d6f8f1a8c06,none,0x00000000c0dec0de,masked,662,662,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,13,0x72bf15064a00455b,none,0x00000000c0dec0de,masked,483,483,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,14,0x2bcabf10fc1407f1,none,0x00000000c0dec0de,masked,682,682,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,15,0x74b59d14d9ab09ab,none,0x00000000c0dec0de,masked,482,482,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,16,0x0d003f2aa5064579,none,0x00000000c0dec0de,masked,647,647,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,17,0x0c9f91243102aa85,none,0x00000000c0dec0de,masked,741,741,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,18,0x00192cfabbe00200,none,0x00000000c0dec0de,masked,100,100,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
recovery-block,c,19,0x7b05ea32cb735399,none,0x00000000c0dec0de,masked,257,257,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,5905,5
