technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
recovery-block,c,0,0x071bd7be293dadcd,reg-bitflip-window,0x00000000c0dec0de,masked,689,689,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x4a0,1,7,0,128,completed,0,0,67,5905,5
recovery-block,c,1,0x8b074b7da3f535de,reg-bitflip-window,0x00000000c0dec0de,masked,335,335,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x10e,5,10,16,1040,completed,0,0,67,5905,5
recovery-block,c,2,0xf20c0db481d49d97,reg-bitflip-window,0x00000000c0dec0de,masked,263,263,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x10a,3,6,16,80,completed,0,0,67,5905,5
recovery-block,c,3,0x99e1e18ca06688e4,reg-bitflip-window,0x00000000c0dec0de,masked,576,576,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x4a0,1,8,0,256,completed,0,0,67,5905,5
recovery-block,c,4,0xa7e0704098dd0202,reg-bitflip-window,0x00000000c0dec0de,masked,544,544,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x108,2,23,0,8388608,completed,0,0,63,5905,5
recovery-block,c,5,0x874c0b0f6c08255f,reg-bitflip-window,0x00000000c0dec0de,masked,212,212,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x110,6,17,0,131072,completed,0,0,67,5905,5
recovery-block,c,6,0x103cb1bbc027acca,reg-bitflip-window,0x00000000c0dec0de,masked,376,376,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x10c,4,22,6,4194310,completed,0,0,67,5905,5
recovery-block,c,7,0x51f6f64d5d58b831,reg-bitflip-window,0x00000000c0dec0de,masked,429,429,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x118,8,0,1000,1001,completed,0,0,67,5905,5
recovery-block,c,8,0x2ce73cad7e393b8b,reg-bitflip-window,0x00000000c0dec0de,masked,752,752,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x4a0,1,8,0,256,completed,0,0,67,5905,5
recovery-block,c,9,0x4659d791d1e2eaf4,reg-bitflip-window,0x00000000c0dec0de,masked,426,426,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x110,6,19,1000,525288,completed,0,0,67,5905,5
recovery-block,c,10,0xba5840ffd6a23f9c,reg-bitflip-window,0x00000000c0dec0de,masked,554,554,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x118,8,26,541065172,608174036,completed,0,0,63,5905,5
recovery-block,c,11,0x73ba6f1d5a58433b,reg-bitflip-window,0x00000000c0dec0de,masked,701,701,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x108,2,27,0,134217728,completed,0,0,67,5905,5
recovery-block,c,12,0x1c431f7afeff15f0,reg-bitflip-window,0x00000000c0dec0de,masked,389,389,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x4a0,1,1,16,18,completed,0,0,67,5905,5
recovery-block,c,13,0x29050a6eb6b808d4,reg-bitflip-window,0x00000000c0dec0de,masked,767,767,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x118,8,22,541065208,545259512,completed,0,0,63,5905,5
recovery-block,c,14,0xb754e0d9ad3b410b,reg-bitflip-window,0x00000000c0dec0de,masked,348,348,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x10e,5,19,16,524304,completed,0,0,67,5905,5
recovery-block,c,15,0xa55a7a8faaf2712d,reg-bitflip-window,0x00000000c0dec0de,masked,162,162,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x4a0,1,18,0,262144,completed,0,0,67,5905,5
recovery-block,c,16,0xb29341cc3387f507,reg-bitflip-window,0x00000000c0dec0de,masked,386,386,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x118,8,18,6,262150,completed,0,0,67,5905,5
recovery-block,c,17,0xba429e694fdc6a0b,reg-bitflip-window,0x00000000c0dec0de,masked,392,392,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x118,8,23,2170105693,2178494301,completed,0,0,67,5905,5
recovery-block,c,18,0x9df17a398c702893,reg-bitflip-window,0x00000000c0dec0de,masked,436,436,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x4a0,1,10,0,1024,completed,0,0,67,5905,5
recovery-block,c,19,0xe303126d4499116d,reg-bitflip-window,0x00000000c0dec0de,masked,694,694,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x10c,4,16,6,65542,completed,0,0,67,5905,5
