technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
recovery-block,zig,0,0x2a5a03237d09491f,none,0x00000000c0dec0de,masked,375,375,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,1,0x9561e3fc2617ef4e,none,0x00000000c0dec0de,masked,567,567,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,2,0x474661205110a795,none,0x00000000c0dec0de,masked,756,756,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,3,0xeee789667bcfb4bf,none,0x00000000c0dec0de,masked,246,246,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,4,0xd790e1a3ab273027,none,0x00000000c0dec0de,masked,314,314,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,5,0xad6444002ca4bda6,none,0x00000000c0dec0de,masked,222,222,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,3523,5
recovery-block,zig,6,0x3fb0a0c47edeeca6,none,0x00000000c0dec0de,masked,376,376,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,7,0x6f9561277331d2a0,none,0x00000000c0dec0de,masked,423,423,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,8,0x3a367cbbc54f879c,none,0x00000000c0dec0de,masked,622,622,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,9,0x98cbdfaa5a6b026f,none,0x00000000c0dec0de,masked,146,146,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,10,0xc6a87e072baaa1bd,none,0x00000000c0dec0de,masked,257,257,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,11,0xc5dda2487d19d7f7,none,0x00000000c0dec0de,masked,476,476,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,12,0xf31df8c29fcea3c2,none,0x00000000c0dec0de,masked,474,474,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,13,0x10334d64f39185c5,none,0x00000000c0dec0de,masked,771,771,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,14,0x05e9ae3b51c3d43b,none,0x00000000c0dec0de,masked,671,671,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,15,0xdbdf8a43dbb48e34,none,0x00000000c0dec0de,masked,452,452,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,16,0x4befe064a5f50e33,none,0x00000000c0dec0de,masked,764,764,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,17,0x36e07c57b666c15a,none,0x00000000c0dec0de,masked,434,434,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,18,0x0a217624e1ae0204,none,0x00000000c0dec0de,masked,172,172,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
recovery-block,zig,19,0x1b9cd0502b4a161c,none,0x00000000c0dec0de,masked,222,222,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,3523,5
