technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
recovery-block,zig,0,0x9488f9d21abcfba9,ram-symbol-bitflip,0x00000000c0dec0de,masked,271,271,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_min,0x20000018,0x1cba0,0,24,0,16777216,completed,0,0,67,3523,5
recovery-block,zig,1,0x525b32426a23d1c2,ram-symbol-bitflip,0x00000000c0dec0de,masked,259,259,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_tag,0x20000024,0x1cba0,0,10,1,1025,completed,0,0,67,3523,5
recovery-block,zig,2,0x268260938a3f63b7,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,16777346,642,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_active_value,0x20000050,0x1cba0,0,24,130,16777346,completed,0,0,67,1965,5
recovery-block,zig,3,0xdb528008b428398e,ram-symbol-bitflip,0x00000000c0dec0de,masked,375,375,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_value,0x20000020,0x1cba0,0,3,143,135,completed,0,0,67,3523,5
recovery-block,zig,4,0x9430749d80f3aa6e,ram-symbol-bitflip,0x00000000c0dec0de,masked,718,718,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_capacity,0x20000004,0x1cba0,0,20,16,1048592,completed,0,0,67,3523,5
recovery-block,zig,5,0xbf1a8a1bb5f1705e,ram-symbol-bitflip,0x00000000c0dec0de,masked,608,608,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_tag,0x20000024,0x1cba0,0,13,1,8193,completed,0,0,67,3523,5
recovery-block,zig,6,0x18fa84487c8994c5,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,149,650,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_active_checksum,0x20000030,0x1cba0,0,2,1632564445,1632564441,completed,0,0,67,2278,5
recovery-block,zig,7,0x5521055ac982195a,ram-symbol-bitflip,0x00000000c0dec0de,masked,525,525,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_value,0x20000020,0x1cba0,0,12,174,4270,completed,0,0,67,3523,5
recovery-block,zig,8,0x7bd51673867fabd7,ram-symbol-bitflip,0x00000000c0dec0de,fail_safe,215,257,1,0,1,3,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_active_length,0x2000003c,0x1cba0,0,21,6,2097158,completed,0,0,67,2002,5
recovery-block,zig,9,0x9c24f01a8cac0290,ram-symbol-bitflip,0x00000000c0dec0de,masked,405,405,0,0,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_recovery_saved_tag,0x20000024,0x1cba0,0,18,1,262145,completed,0,0,67,3523,5
