technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
recovery-block,zig,0,0xd6c62e781829e784,reg-bitflip-window,0x00000000c0dec0de,masked,288,288,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1c8ec,8,23,16,8388624,completed,0,0,67,3523,5
recovery-block,zig,1,0xaa6489c21acb592e,reg-bitflip-window,0x00000000c0dec0de,masked,258,258,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1cba2,2,5,16,48,completed,0,0,67,3523,5
recovery-block,zig,2,0x36708b17f5d9f02f,reg-bitflip-window,0x00000000c0dec0de,masked,266,266,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1bf7c,5,24,0,16777216,completed,0,0,67,3523,5
recovery-block,zig,3,0x5abecc63528ec1e8,reg-bitflip-window,0x00000000c0dec0de,masked,538,538,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1bf7a,4,4,536870920,536870936,completed,0,0,67,3523,5
recovery-block,zig,4,0x581d4dcb08c5a85c,reg-bitflip-window,0x00000000c0dec0de,masked,350,350,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x1cba2,2,2,541064908,541064904,completed,0,0,67,3523,5
recovery-block,zig,5,0xaad611127e90cd76,reg-bitflip-window,0x00000000c0dec0de,masked,420,420,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x1bf7e,6,6,0,64,completed,0,0,67,3523,5
recovery-block,zig,6,0x4d6f0ee81472ad45,reg-bitflip-window,0x00000000c0dec0de,masked,290,290,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1c8ec,8,11,541065208,541063160,completed,0,0,67,3523,5
recovery-block,zig,7,0x680031a92688e414,reg-bitflip-window,0x00000000c0dec0de,masked,514,514,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1c8ec,8,4,541064908,541064924,completed,0,0,67,3523,5
recovery-block,zig,8,0xf86a8ea7efa8d727,reg-bitflip-window,0x00000000c0dec0de,masked,368,368,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1cba0,1,16,541064672,540999136,completed,0,0,67,3523,5
recovery-block,zig,9,0x88c519767f24a271,reg-bitflip-window,0x00000000c0dec0de,masked,611,611,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x1cba0,1,22,0,4194304,completed,0,0,63,3523,5
recovery-block,zig,10,0x36909c3884c6508c,reg-bitflip-window,0x00000000c0dec0de,masked,756,756,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1c8ec,8,28,1000,268436456,completed,0,0,63,3523,5
recovery-block,zig,11,0x03e997a7a1c188b2,reg-bitflip-window,0x00000000c0dec0de,masked,433,433,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x1c8ec,8,9,541064976,541064464,completed,0,0,67,3523,5
recovery-block,zig,12,0x8840342c74866030,reg-bitflip-window,0x00000000c0dec0de,masked,571,571,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x1cba2,2,18,0,262144,completed,0,0,67,3523,5
recovery-block,zig,13,0xe14c52e1ef7b2f4f,reg-bitflip-window,0x00000000c0dec0de,masked,345,345,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1c94e,3,23,0,8388608,completed,0,0,67,3523,5
recovery-block,zig,14,0x85029a6881060c2a,reg-bitflip-window,0x00000000c0dec0de,masked,684,684,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x1bf7c,5,0,0,1,completed,0,0,67,3523,5
recovery-block,zig,15,0xcfdaf27066e52ac4,reg-bitflip-window,0x00000000c0dec0de,masked,538,538,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x1c8ec,8,13,0,8192,completed,0,0,67,3523,5
recovery-block,zig,16,0xde45d60390b1c270,reg-bitflip-window,0x00000000c0dec0de,masked,349,349,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1bf7e,6,16,1000,66536,completed,0,0,67,3523,5
recovery-block,zig,17,0x0a9edffbcabedc7e,reg-bitflip-window,0x00000000c0dec0de,masked,160,160,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x1bf7e,6,29,1,536870913,completed,0,0,67,3523,5
recovery-block,zig,18,0xbf4fa3cc43b82213,reg-bitflip-window,0x00000000c0dec0de,masked,778,778,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1c94e,3,13,16,8208,completed,0,0,63,3523,5
recovery-block,zig,19,0xe2e75cbe144179e9,reg-bitflip-window,0x00000000c0dec0de,masked,359,359,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x1c94e,3,6,541065060,541064996,completed,0,0,67,3523,5
