technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
tmr,c,0,0xe34dd1ad339b3b23,ram-symbol-bitflip,0x00000000c0dec0de,corrected,741226245,741226245,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000544,0x240,8,27,741226245,607008517,completed,0,0,67,618,5
tmr,c,1,0x0605424f0ca3604d,ram-symbol-bitflip,0x00000000c0dec0de,corrected,123305818,123305818,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x2000053c,0x240,0,17,123305818,123436890,completed,0,0,67,669,5
tmr,c,2,0x2e84dba5f0c2ed2b,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1558904256,1558904256,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000548,0x240,12,28,0,268435456,completed,0,0,67,505,5
tmr,c,3,0x2db96c3f26602ee5,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2765647098,2765647098,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000544,0x240,8,17,2765647098,2765778170,completed,0,0,67,618,5
tmr,c,4,0x47793808e85082e7,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1794184940,1794184940,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000544,0x240,8,5,1794184940,1794184908,completed,0,0,67,618,5
tmr,c,5,0x6696d0bd8307dbc1,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2430163582,2430163582,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x2000053c,0x240,0,27,2430163582,2564381310,completed,0,0,67,669,5
tmr,c,6,0x993b02024c284ced,ram-symbol-bitflip,0x00000000c0dec0de,corrected,3853488103,3853488103,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000548,0x240,12,17,0,131072,completed,0,0,63,505,5
tmr,c,7,0x74090887c4e15df0,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1155557135,1155557135,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000544,0x240,8,28,1155557135,1423992591,completed,0,0,67,618,5
tmr,c,8,0xcc96c456a99ab980,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1152902232,1152902232,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000540,0x240,4,26,1152902232,1085793368,completed,0,0,67,616,5
tmr,c,9,0x1baad129da4873a8,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2960002960,2960002960,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000544,0x240,8,4,2960002960,2960002944,completed,0,0,67,618,5
tmr,c,10,0x2a9719419e3b0d86,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1281939732,1281939732,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000540,0x240,4,23,1281939732,1290328340,completed,0,0,63,616,5
tmr,c,11,0x32b1b1ae42c2d6d0,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2850161464,2850161464,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x2000053c,0x240,0,14,2850161464,2850177848,completed,0,0,67,669,5
tmr,c,12,0x217dbafd90e1d329,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1389226310,1389226310,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000548,0x240,12,9,0,512,completed,0,0,67,505,5
tmr,c,13,0x88781b62531dc84e,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1986402753,1986402753,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x2000053c,0x240,0,25,1986402753,1952848321,completed,0,0,67,669,5
tmr,c,14,0xc7356b8d59087320,ram-symbol-bitflip,0x00000000c0dec0de,corrected,510358201,510358201,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x2000053c,0x240,0,3,510358201,510358193,completed,0,0,67,669,5
tmr,c,15,0xc749ab11b540d258,ram-symbol-bitflip,0x00000000c0dec0de,corrected,3368540439,3368540439,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000544,0x240,8,11,3368540439,3368538391,completed,0,0,67,618,5
tmr,c,16,0x413a42d391528581,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2763338585,2763338585,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000540,0x240,4,15,2763338585,2763371353,completed,0,0,67,616,5
tmr,c,17,0x2903f9812e3c31d9,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2903141231,2903141231,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000540,0x240,4,8,2903141231,2903140975,completed,0,0,67,616,5
tmr,c,18,0x73b5e893761e55e8,ram-symbol-bitflip,0x00000000c0dec0de,corrected,4090126545,4090126545,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_state,0x20000548,0x240,12,28,0,268435456,completed,0,0,67,505,5
