technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
tmr,c,0,0x15afc8b57f3bccb1,reg-bitflip-window,0x00000000c0dec0de,masked,2554237678,2554237678,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x240,1,0,2554237678,2554237679,completed,0,0,67,485,5
tmr,c,1,0x76f0d3c2059de24a,reg-bitflip-window,0x00000000c0dec0de,masked,1714485294,1714485294,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x248,7,22,541065192,545259496,completed,0,0,67,485,5
tmr,c,2,0x3542db0ba6c9cb4f,reg-bitflip-window,0x00000000c0dec0de,masked,1155874312,1155874312,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0xc0,2,15,1,32769,completed,0,0,67,485,5
tmr,c,3,0x972ef97d46bdf228,reg-bitflip-window,0x00000000c0dec0de,masked,3540569796,3540569796,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x240,1,5,0,32,completed,0,0,67,485,5
tmr,c,4,0x822f616e4954645a,reg-bitflip-window,0x00000000c0dec0de,masked,1674268231,1674268231,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x240,1,4,0,16,completed,0,0,67,485,5
tmr,c,5,0x9c01c4a9f7f9cb60,reg-bitflip-window,0x00000000c0dec0de,hang,,,,,,,,,,,,,,,,,,,timeout,1,,7027,,
tmr,c,6,0x61a0530333a120f9,reg-bitflip-window,0x00000000c0dec0de,masked,2612965919,2612965919,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x246,6,22,541065192,545259496,completed,0,0,67,485,5
tmr,c,7,0x7e32b9a34e122dbf,reg-bitflip-window,0x00000000c0dec0de,masked,2032719672,2032719672,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x240,1,16,1,65537,completed,0,0,67,485,5
tmr,c,8,0x4720b2178af6a024,reg-bitflip-window,0x00000000c0dec0de,masked,2487433920,2487433920,0,0,0,0,1,1,reg-bitflip-window,register,reg,r0,0x0,0x240,1,14,1,16385,completed,0,0,67,485,5
tmr,c,9,0xd6bafdab5bccf18e,reg-bitflip-window,0x00000000c0dec0de,masked,3868868559,3868868559,0,0,0,0,1,1,reg-bitflip-window,register,reg,r3,0x0,0x246,6,19,3868868559,3868344271,completed,0,0,67,485,5
tmr,c,10,0x9ee0a8139e4e9025,reg-bitflip-window,0x00000000c0dec0de,masked,926171370,926171370,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x244,5,28,0,268435456,completed,0,0,67,485,5
tmr,c,11,0x91d2f974594e0341,reg-bitflip-window,0x00000000c0dec0de,masked,3132492145,3132492145,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x240,1,28,3132492145,2864056689,completed,0,0,67,485,5
tmr,c,12,0xb5c09d90bcf251da,reg-bitflip-window,0x00000000c0dec0de,masked,3178195715,3178195715,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x244,5,22,541065192,545259496,completed,0,0,67,485,5
tmr,c,13,0xaac3304b5b85f57c,reg-bitflip-window,0x00000000c0dec0de,masked,995819509,995819509,0,0,0,0,1,1,reg-bitflip-window,register,reg,r12,0x0,0x240,1,9,0,512,completed,0,0,67,485,5
tmr,c,14,0x4811a6f7f4052e4f,reg-bitflip-window,0x00000000c0dec0de,masked,3396002452,3396002452,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x246,6,1,0,2,completed,0,0,67,485,5
tmr,c,15,0xd1fdcb3d205af0ac,reg-bitflip-window,0x00000000c0dec0de,masked,1316474993,1316474993,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x246,6,1,0,2,completed,0,0,67,485,5
tmr,c,16,0x42ba90ad3027d0b8,reg-bitflip-window,0x00000000c0dec0de,masked,3526919111,3526919111,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x24a,8,5,0,32,completed,0,0,67,485,5
tmr,c,17,0x74ffe96faa7d8d75,reg-bitflip-window,0x00000000c0dec0de,masked,1752619000,1752619000,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x246,6,29,0,536870912,completed,0,0,67,485,5
tmr,c,18,0xb027e03cc97a8e62,reg-bitflip-window,0x00000000c0dec0de,masked,3389974559,3389974559,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x246,6,30,0,1073741824,completed,0,0,67,485,5
tmr,c,19,0xea47da474330dede,reg-bitflip-window,0x00000000c0dec0de,masked,1714855403,1714855403,0,0,0,0,1,1,reg-bitflip-window,register,reg,r2,0x0,0x24a,8,1,1714855403,1714855401,completed,0,0,67,485,5
