technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
tmr,zig,0,0x83f2bc1dca597c10,none,0x00000000c0dec0de,masked,3913076159,3913076159,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,1,0x29926a413a868883,none,0x00000000c0dec0de,masked,1270402241,1270402241,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,2,0xb0c1e86c97ce65b3,none,0x00000000c0dec0de,masked,3385811474,3385811474,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,3,0xc460d5258ba5a0b7,none,0x00000000c0dec0de,masked,789607644,789607644,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,4,0x6692b860063dfde0,none,0x00000000c0dec0de,masked,3555312666,3555312666,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,5,0xe3f5582dda815668,none,0x00000000c0dec0de,masked,853653582,853653582,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,6,0x9a6894c93b5f1b2d,none,0x00000000c0dec0de,masked,1329762735,1329762735,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,7,0xd408f77d8086777f,none,0x00000000c0dec0de,masked,1391080410,1391080410,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,675,5
tmr,zig,8,0x92ec90c57e1d903f,none,0x00000000c0dec0de,masked,4031405541,4031405541,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,9,0xd94c22c08388f776,none,0x00000000c0dec0de,masked,1493225110,1493225110,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,10,0x0448c0505680b3b6,none,0x00000000c0dec0de,masked,1434155523,1434155523,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,11,0x04610eeb55d2ee0f,none,0x00000000c0dec0de,masked,3882952604,3882952604,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,675,5
tmr,zig,12,0x80e7e11568894aa0,none,0x00000000c0dec0de,masked,2504294051,2504294051,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,13,0xa064608d1f230206,none,0x00000000c0dec0de,masked,3970537481,3970537481,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,14,0x0e0d44a7a8a2f75c,none,0x00000000c0dec0de,masked,387043384,387043384,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,15,0xe3b4f3ed95e0ab46,none,0x00000000c0dec0de,masked,1830779692,1830779692,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,63,675,5
tmr,zig,16,0x623b8d33f5e0c2a9,none,0x00000000c0dec0de,masked,184773039,184773039,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,17,0x7fc5462e3e0a0e95,none,0x00000000c0dec0de,masked,2528498805,2528498805,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,18,0x0c913b367eada891,none,0x00000000c0dec0de,masked,1488095397,1488095397,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
tmr,zig,19,0xaaffa933c855ca30,none,0x00000000c0dec0de,masked,2657223796,2657223796,0,0,0,0,1,0,none,none,none,,0x0,0x0,0,0,0,0,completed,0,0,67,675,5
