technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
tmr,zig,0,0x41d3fb00bdfa9f34,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1423404615,1423404615,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_fault_count,0x20000038,0x1c2f8,0,18,0,262144,completed,0,0,67,705,5
tmr,zig,1,0x979a195810b0c197,ram-symbol-bitflip,0x00000000c0dec0de,corrected,3565789379,3565789379,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_b,0x2000002c,0x1c2f8,0,23,3565789379,3557400771,completed,0,0,67,723,5
tmr,zig,2,0xca407b1e029361b8,ram-symbol-bitflip,0x00000000c0dec0de,corrected,363926486,363926486,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_fault_count,0x20000038,0x1c2f8,0,17,0,131072,completed,0,0,67,705,5
tmr,zig,3,0x4d3fdaa8d0d92514,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2794863654,2794863654,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_c,0x20000024,0x1c2f8,0,3,2794863654,2794863662,completed,0,0,63,720,5
tmr,zig,4,0x7ca45c27e9c89f13,ram-symbol-bitflip,0x00000000c0dec0de,corrected,686197736,686197736,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_b,0x2000002c,0x1c2f8,0,12,686197736,686201832,completed,0,0,67,723,5
tmr,zig,5,0x6039d24510331634,ram-symbol-bitflip,0x00000000c0dec0de,corrected,485400262,485400262,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_a,0x20000034,0x1c2f8,0,1,485400262,485400260,completed,0,0,67,730,5
tmr,zig,6,0x12e4e2b46e7cda90,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1220454267,1220454267,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_a,0x20000034,0x1c2f8,0,25,1220454267,1254008699,completed,0,0,67,730,5
tmr,zig,7,0xbb210d01f4b06296,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1995461521,1995461521,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_c,0x20000024,0x1c2f8,0,27,1995461521,2129679249,completed,0,0,67,720,5
tmr,zig,8,0x24051b08b58ea7f8,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2115567124,2115567124,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_a,0x20000034,0x1c2f8,0,10,2115567124,2115566100,completed,0,0,67,730,5
tmr,zig,9,0xcea614e9e809e815,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1871002135,1871002135,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_b,0x2000002c,0x1c2f8,0,18,1871002135,1870739991,completed,0,0,67,723,5
tmr,zig,10,0xbbae6e197dbe8d4a,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1765715816,1765715816,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_b,0x2000002c,0x1c2f8,0,0,1765715816,1765715817,completed,0,0,67,723,5
tmr,zig,11,0xcf8dab67db7a4add,ram-symbol-bitflip,0x00000000c0dec0de,corrected,3461930285,3461930285,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_a,0x20000034,0x1c2f8,0,31,3461930285,1314446637,completed,0,0,67,730,5
tmr,zig,12,0x24f41904b2607471,ram-symbol-bitflip,0x00000000c0dec0de,corrected,4231811665,4231811665,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_fault_count,0x20000038,0x1c2f8,0,8,0,256,completed,0,0,63,705,5
tmr,zig,13,0xf003ee8a08524887,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2241479465,2241479465,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_fault_count,0x20000038,0x1c2f8,0,18,0,262144,completed,0,0,67,705,5
tmr,zig,14,0x2769b3267e81477a,ram-symbol-bitflip,0x00000000c0dec0de,corrected,1304944681,1304944681,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_c,0x20000024,0x1c2f8,0,13,1304944681,1304936489,completed,0,0,67,720,5
tmr,zig,15,0x9c4123ba9d17a2df,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2736584728,2736584728,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_c,0x20000024,0x1c2f8,0,29,2736584728,2199713816,completed,0,0,67,720,5
tmr,zig,16,0xb66d48666445172f,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2063862181,2063862181,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_b,0x2000002c,0x1c2f8,0,28,2063862181,1795426725,completed,0,0,67,723,5
tmr,zig,17,0x49573775e47ecd20,ram-symbol-bitflip,0x00000000c0dec0de,corrected,2230817538,2230817538,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_b,0x2000002c,0x1c2f8,0,7,2230817538,2230817666,completed,0,0,67,723,5
tmr,zig,18,0x5bb851ef512e57d9,ram-symbol-bitflip,0x00000000c0dec0de,corrected,4180906946,4180906946,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_a,0x20000034,0x1c2f8,0,30,4180906946,3107165122,completed,0,0,67,730,5
tmr,zig,19,0xccf839f0f698268a,ram-symbol-bitflip,0x00000000c0dec0de,corrected,586871005,586871005,1,1,0,0,1,1,ram-symbol-bitflip,ram,ram-symbol,harness_fuzz_tmr_fault_count,0x20000038,0x1c2f8,0,0,0,1,completed,0,0,67,705,5
