technique,implementation,trial_id,trial_seed,campaign,campaign_seed,result_class,output,expected,detected,corrected,safe_state,error_code,harness_done,injected,fault_mode,fault_domain,target_kind,target_name,target_addr,inject_pc,inject_offset,bit,before,after,process_status,timeout,instruction_budget_exhausted,elapsed_ms,instructions_executed,qemu_plugin_api
tmr,zig,0,0x6c44a012bdc8553f,reg-bitflip-window,0x00000000c0dec0de,masked,1738663433,1738663433,0,0,0,0,1,1,reg-bitflip-window,register,reg,r4,0x0,0x1c212,8,29,0,536870912,completed,0,0,67,675,5
tmr,zig,1,0x9b87bca46f72387a,reg-bitflip-window,0x00000000c0dec0de,masked,3543615609,3543615609,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1c212,8,17,541065124,540934052,completed,0,0,67,675,5
tmr,zig,2,0x11909574e656c7e0,reg-bitflip-window,0x00000000c0dec0de,masked,1781340408,1781340408,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1bf36,6,13,0,8192,completed,0,0,67,675,5
tmr,zig,3,0xd827937c9855404e,reg-bitflip-window,0x00000000c0dec0de,masked,324857223,324857223,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1bf36,6,8,0,256,completed,0,0,63,675,5
tmr,zig,4,0xd756b3da692624a7,reg-bitflip-window,0x00000000c0dec0de,masked,3132420563,3132420563,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1c210,7,21,541065124,538967972,completed,0,0,67,675,5
tmr,zig,5,0x067388c1a36b1e41,reg-bitflip-window,0x00000000c0dec0de,masked,3920304759,3920304759,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1bf36,6,14,541065124,541048740,completed,0,0,67,675,5
tmr,zig,6,0x9b845075afc705e6,reg-bitflip-window,0x00000000c0dec0de,masked,497310951,497310951,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1c210,7,16,0,65536,completed,0,0,67,675,5
tmr,zig,7,0xf930eb4c950c35aa,reg-bitflip-window,0x00000000c0dec0de,masked,1736928956,1736928956,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1bf32,4,4,0,16,completed,0,0,67,675,5
tmr,zig,8,0x9059f4c653077116,reg-bitflip-window,0x00000000c0dec0de,masked,1345176899,1345176899,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1c282,3,16,536870916,536936452,completed,0,0,67,675,5
tmr,zig,9,0x163e6912006a88ea,reg-bitflip-window,0x00000000c0dec0de,masked,1375591765,1375591765,0,0,0,0,1,1,reg-bitflip-window,register,reg,r5,0x0,0x1c2f8,1,15,0,32768,completed,0,0,67,675,5
tmr,zig,10,0x397fe89aedebb06a,reg-bitflip-window,0x00000000c0dec0de,masked,2721704422,2721704422,0,0,0,0,1,1,reg-bitflip-window,register,reg,r11,0x0,0x1bf36,6,19,0,524288,completed,0,0,67,675,5
tmr,zig,11,0xcc05e31ab3b01731,reg-bitflip-window,0x00000000c0dec0de,masked,2901717818,2901717818,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1bf34,5,12,541065208,541061112,completed,0,0,67,675,5
tmr,zig,12,0x991121c9648439be,reg-bitflip-window,0x00000000c0dec0de,masked,3893539553,3893539553,0,0,0,0,1,1,reg-bitflip-window,register,reg,r1,0x0,0x1c2fa,2,17,536870916,537001988,completed,0,0,67,675,5
tmr,zig,13,0xad3f105f35a03240,reg-bitflip-window,0x00000000c0dec0de,masked,671302361,671302361,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x1c2fa,2,14,0,16384,completed,0,0,67,675,5
tmr,zig,14,0x78dd493b14ddb7b2,reg-bitflip-window,0x00000000c0dec0de,masked,2166808251,2166808251,0,0,0,0,1,1,reg-bitflip-window,register,reg,r7,0x0,0x1c212,8,26,541065208,608174072,completed,0,0,67,675,5
tmr,zig,15,0xb644088648f56e78,reg-bitflip-window,0x00000000c0dec0de,masked,2249555364,2249555364,0,0,0,0,1,1,reg-bitflip-window,register,reg,r9,0x0,0x1c2fa,2,9,0,512,completed,0,0,67,675,5
tmr,zig,16,0x1849aef9e9b421c9,reg-bitflip-window,0x00000000c0dec0de,masked,1324815485,1324815485,0,0,0,0,1,1,reg-bitflip-window,register,reg,r8,0x0,0x1bf36,6,24,0,16777216,completed,0,0,67,675,5
tmr,zig,17,0x2a6772ae59859ac4,reg-bitflip-window,0x00000000c0dec0de,masked,1792104654,1792104654,0,0,0,0,1,1,reg-bitflip-window,register,reg,r10,0x0,0x1bf34,5,30,0,1073741824,completed,0,0,63,675,5
tmr,zig,18,0x8500f97be975e46b,reg-bitflip-window,0x00000000c0dec0de,masked,3528132025,3528132025,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1bf32,4,0,0,1,completed,0,0,67,675,5
tmr,zig,19,0x7bd31a4e7dfa5449,reg-bitflip-window,0x00000000c0dec0de,masked,2881832753,2881832753,0,0,0,0,1,1,reg-bitflip-window,register,reg,r6,0x0,0x1bf34,5,23,0,8388608,completed,0,0,63,675,5
